No.,Word,Meaning 
,high-rise building,"高層ビル［建築］◆一般に、エレベーターが必須の、高さが35～100メートル、または12～39階の建物を指す。
100メートル以上の建物は「超高層建築(skyscraper)」と呼ぶ。"
,insulation ,絶縁、分離、断熱（性）、防音 ex.)insulation against noise
,curfew,外出禁止令 〈米〉門限（時間）
,nuisance,"Make noise + annoying = nuisance
Make noise + annoying the neighbours = create noise + annoyance ex.)create a nuisance to their neighbourhood."
,sprawl,"だらしなく〕大の字になって［手足を伸ばして］寝そべる、手足を伸ばして座る、ばらばらに広がる、不規則［無秩序］に広がる、
 ex.) I sprawl across a bed "
,urban sprawl,都市の〕スプロール（現象）◆都市が膨張するとともに、住宅が無秩序に郊外に広がる現象。
,furry ,毛皮［柔毛］で覆われた         2. 毛皮製の ex.)Furry animal
,sparsely,"まばらに、わずかに◆ ex.) sparsely decorated, sparsely attended"
,rustic,田舎の［に住む］◆対urban、素朴な、純朴な、質素な、飾り気のない ex.)rustic atmosphere
,doze,うたた寝する、居眠りする ex.)They got so relaxed that they dozed off.
,alienated,〔社会・組織などから〕疎外された ex.) alienated from each other / your parents
,exodus,大量の人間の脱出［移住・移動］、集団脱出 ex.) This pandemic caused the exodus from the big city to tranquil suburbs. 
,inner-city slums ,都心の貧民街
,concrete jungle,コンクリート（でできた）ジャングル◆たくさんのビルが密集している地域。
,shanty town,貧民街、スラム
,Be carpeted in,〜の絨毯が敷かれてる。〜で地面がいっぱいである。ex)The mountain slopes are carpeted in floweres and plants .
,,
,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
